"PRIMARY","COLUMN_NAME","FILE_1_DATA","FILE_2_DATA","IMAGE_NAME"
" 706205","Q58","D","*","706205.jpg"
" 707800","Q38","","B","707800.jpg"
" 707800","Q56","","B","707800.jpg"
" 707800","Q73","","D","707800.jpg"
" 707845","Q93","*","D","707845.jpg"
" 707850","Q9","","B","707850.jpg"
" 707853","Q94","","A","707853.jpg"
" 707864","Q82","","A","707864.jpg"
" 707902","Q9","","C","707902.jpg"
" 707902","Q44","","C","707902.jpg"
" 707664","Q30","*","D","707664.jpg"
" 707720","Q24","D","*","707720.jpg"
" 707774","Q5","A","","707774.jpg"
" 707774","Q16","B","*","707774.jpg"
" 708028","Q65","","A","708028.jpg"
" 708028","Q91","","D","708028.jpg"
" 708041","Q74","*","B","708041.jpg"
" 708058","Q41","C","*","708058.jpg"
" 708123","Q98","D","*","708123.jpg"
" 706302","Q95","","A","706302.jpg"
" 681476","Q26","B","*","681476.jpg"
" 681512","Q84","B","*","681512.jpg"
" 681515","Q96","D","*","681515.jpg"
" 681546","Q83","","D","681546.jpg"
" 681627","Q80","*","D","681627.jpg"
" 681642","Q74","","B","681642.jpg"
" 681697","Q25","*","D","681697.jpg"
" 748598","Q32","*","D","748598.jpg"
" 748753","Q97","*","B","748753.jpg"
" 748866","Q58","A","*","748866.jpg"
" 748879","Q40","*","D","748879.jpg"
" 748902","Q4","","B","748902.jpg"
" 748902","Q72","","B","748902.jpg"
" 627247","Q86","","B","627247.jpg"
" 627039","Q41","","A","627039.jpg"
" 627242","Q30","A","*","627242.jpg"
" 627210","Q50","","B","627210.jpg"
" 627378","Q42","","C","627378.jpg"
" 627378","Q53","","C","627378.jpg"
" 627366","Q74","","A","627366.jpg"
" 627008","Q99","C","*","627008.jpg"
" 627131","Q87","","*","627131.jpg"
" 626917","Q100","A","*","626917.jpg"
" 626932","Q86","","B","626932.jpg"
" 718378","Q20","","B","718378.jpg"
" 718444","Q35","A","*","718444.jpg"
" 718503","Q54","A","*","718503.jpg"
" 718522","Q27","*","D","718522.jpg"
" 718570","Q67","B","*","718570.jpg"
" 711931","Q38","D","*","711931.jpg"
" 711931","Q93","","A","711931.jpg"
" 712098","Q84","C","*","712098.jpg"
" 712098","Q94","*","D","712098.jpg"
" 712163","Q8","","C","712163.jpg"
" 652113","Q35","","A","652113.jpg"
" 652115","Q71","","B","652115.jpg"
" 651899","Q45","","C","651899.jpg"
" 651939","Q93","*","D","651939.jpg"
" 651962","Q41","*","B","651962.jpg"
" 651995","Q72","*","D","651995.jpg"
" 651999","Q72","","B","651999.jpg"
" 652011","Q19","*","B","652011.jpg"
" 652019","Q26","*","C","652019.jpg"
" 652072","Q92","D","*","652072.jpg"
" 652081","Q100","A","*","652081.jpg"
" 651798","Q71","*","D","651798.jpg"
" 651793","Q28","D","*","651793.jpg"
" 651793","Q96","C","*","651793.jpg"
" 718981","Q27","B","*","718981.jpg"
" 719069","Q89","*","A","719069.jpg"
" 716249","Q90","C","*","716249.jpg"
" 716361","Q40","*","C","716361.jpg"
" 716363","Q1","","A","716363.jpg"
" 716387","Q83","","C","716387.jpg"
" 716475","Q10","*","C","716475.jpg"
" 716475","Q36","*","C","716475.jpg"
" 716519","Q41","","B","716519.jpg"
" 750644","Q75","","A","750644.jpg"
